office_id,source_name,kprk_id,ordinal,slug
10000,Jakartapusat,10000,1,jakartapusat-10000
11000,Jakartabarat,11000,2,jakartabarat-11000
12000,Jakartaselatan,12000,3,jakartaselatan-12000
13000,Jakartatimur,13000,4,jakartatimur-13000
14000,Jakartautara,14000,5,jakartautara-14000
14530,Pulauseribu,14000,6,pulauseribu-14530
15000,Tangerang,15000,7,tangerang-15000
15400,Ciputat,15400,8,ciputat-15400
15610,Balaraja,15000,9,balaraja-15610
16000,Bogor,16000,10,bogor-16000
16400,Depok,16400,11,depok-16400
16620,Ciampea,16000,12,ciampea-16620
16900,Cibinong,16900,13,cibinong-16900
17000,Bekasi,17000,14,bekasi-17000
17500,Cikarang,17500,15,cikarang-17500
17610,Babelan,17000,16,babelan-17610
20000,Medan,20000,17,medan-20000
20357,Bandarbaru,20000,18,bandarbaru-20357
20600,Tebingtinggideli,20600,19,tebingtinggideli-20600
20700,Binjai,20700,20,binjai-20700
20883,Batangserangan,20700,21,batangserangan-20883
20994,Bandarkhalipah,20600,22,bandarkhalipah-20994
21100,Pematangsiantar,21100,23,pematangsiantar-21100
21153,Bahjambi,21100,24,bahjambi-21153
21200,Kisaran,21200,25,kisaran-21200
21256,Indrapura,21200,26,indrapura-21256
21300,Tanjungbalai,21200,27,tanjungbalai-21300
21400,Rantauprapat,21400,28,rantauprapat-21400
21452,Merbau,21400,29,merbau-21452
21457,Aekkanopan,21400,30,aekkanopan-21457
21464,Kotapinang,21400,31,kotapinang-21464
21475,Tanjungleidong,21200,32,tanjungleidong-21475
22100,Kabanjahe,22100,33,kabanjahe-22100
22261,Bunturaja,22100,34,bunturaja-22261
22272,Salak,22100,35,salak-22272
22300,Balige,22300,36,balige-22300
22394,Nainggolan,22300,37,nainggolan-22394
22395,Ambarita,22300,38,ambarita-22395
22400,Tarutung,22400,39,tarutung-22400
22457,Doloksanggul,22400,40,doloksanggul-22457
22500,Sibolga,22500,41,sibolga-22500
22564,Barus,22500,42,barus-22564
22700,Padangsidempuan,22700,43,padangsidempuan-22700
22738,Batangtoru,22700,44,batangtoru-22738
22753,Gunungtua,22700,45,gunungtua-22753
22755,Binanga,22700,46,binanga-22755
22800,Gunungsitoli,22800,47,gunungsitoli-22800
22853,Lahewa,22800,48,lahewa-22853
22863,Sirombu,22800,49,sirombu-22863
22865,Telukdalam,22800,50,telukdalam-22865
22871,Hiliweto,22800,51,hiliweto-22871
22952,Kayulaut,22700,52,kayulaut-22952
23000,Bandaaceh,23000,53,bandaaceh-23000
23363,Indrapuri,23000,54,indrapuri-23363
23500,Sabang,23000,55,sabang-23500
23600,Meulaboh,23600,56,meulaboh-23600
23657,Lamno,23000,57,lamno-23657
23662,Alurbilie,23600,58,alurbilie-23662
23694,Kampungaie,23600,59,kampungaie-23694
23700,Tapaktuan,23700,60,tapaktuan-23700
23764,Blangpidie,23700,61,blangpidie-23764
23782,Subulussalam,23700,62,subulussalam-23782
23791,Pulaubanyak,23700,63,pulaubanyak-23791
24100,Sigli,24100,64,sigli-24100
24184,Luengputu,24100,65,luengputu-24184
24200,Bireuen,24300,66,bireuen-24200
24300,Lhokseumawe,24300,67,lhokseumawe-24300
24392,Alueieputeh,24300,68,alueieputeh-24392
24400,Langsa,24400,69,langsa-24400
24452,Bayeun,24400,70,bayeun-24452
24472,Bendahara,24400,71,bendahara-24472
24562,Angkup,24300,72,angkup-24562
24582,Janarata,24300,73,janarata-24582
24600,Kutacane,24600,74,kutacane-24600
24653,Blangkejeran,24600,75,blangkejeran-24653
25000,Padang,25000,76,padang-25000
25391,Sikakap,25000,77,sikakap-25391
25392,Sioban,25000,78,sioban-25392
25393,Muarasiberut,25000,79,muarasiberut-25393
25394,Muarasikabaluan,25000,80,muarasikabaluan-25394
25500,Pariaman,25500,81,pariaman-25500
25552,Kampungdalam,25500,82,kampungdalam-25552
25600,Painan,25600,83,painan-25600
25700,Tuapejat,25000,84,tuapejat-25700
26100,Bukitinggi,26100,85,bukitinggi-26100
26192,Baso,26100,86,baso-26192
26200,Payakumbuh,26200,87,payakumbuh-26200
26253,Dangungdangung,26200,88,dangungdangung-26253
26300,Lubuksikaping,26300,89,lubuksikaping-26300
26373,Airbangis,26300,90,airbangis-26373
27100,Padangpanjang,27100,91,padangpanjang-27100
27200,Batusangkar,27100,92,batusangkar-27200
27300,Solok,27300,93,solok-27300
27371,Alahanpanjang,27300,94,alahanpanjang-27371
27400,Sawahlunto,27400,95,sawahlunto-27400
27561,Muarobodipalangki,27400,96,muarobodipalangki-27561
27681,Kotabaru,27400,97,kotabaru-27681
27778,Lubukgadang,27300,98,lubukgadang-27778
28000,Pekanbaru,28000,99,pekanbaru-28000
28300,Pangkalankerinci,28000,100,pangkalankerinci-28300
28500,Bangkinang,28500,101,bangkinang-28500
28558B1,Daludalu,28500,102,daludalu-28558b1
28700,Bengkalis,28800,103,bengkalis-28700
28752,Telukbelitung,28800,104,telukbelitung-28752
28753,Selatpanjang,28800,105,selatpanjang-28753
28754B1,Bantan,28800,106,bantan-28754b1
28761,Sungaipakning,28800,107,sungaipakning-28761
28781,Batupanjang,28800,108,batupanjang-28781
28800,Dumai,28800,109,dumai-28800
28885,Minas,28000,110,minas-28885
28992,Baganbatu,28800,111,baganbatu-28992
29100,Tanjungpinang,29100,112,tanjungpinang-29100
29151,Kijang,29100,113,kijang-29151
29193,Tambelan,29100,114,tambelan-29193
29200,Tembilahan,29200,115,tembilahan-29200
29254,Khairiahmandah,29200,116,khairiahmandah-29254
29255,Sungaiguntung,29200,117,sungaiguntung-29255
